id,desi_targetid,dist_arcsec,z,zerr,spectype,subtype,diaObjectId
2441906,39627817427665153,0.27793326771302745,0.1610388574256851,0.00001126095188119969,GALAXY,,786345839734817655
2442105,39627871777458555,0.2987445851414361,2.010226620368601,0.0003030576471900126,QSO,HIZ,789668632593433328
2442395,39627871790039934,0.9006675847936381,0.7800948574361659,0.0000674865414113257,GALAXY,,789676535333259546
2442719,39627805373237283,1.054443705300121,1.838322456741604,0.000467532506954762,QSO,HIZ,786350650098188977
2442811,39627871806817080,0.8234339301263667,0.932752477574551,2.232146096148817e-46,GALAXY,,789682926244593950
2443013,39627847618265561,0.3619905671593046,0.3117551333605018,0.00002313881594190807,GALAXY,,788008713632878126
2443174,39627859697862377,0.967361996982374,0.992047857631798,0.0001095098658272679,QSO,LOZ,789666914606514269
2443205,39627865771214338,0.46719118673375803,0.9717006940060704,0.00002465534445765105,GALAXY,,789674130151572146
2443246,39627871811013637,0.8498859701783027,0.123044486137991,5.592293400554038e-6,GALAXY,,789682788805640672
2443739,39627871790043852,1.5301391337009438,2.351123386012995,0.0001164167048637185,QSO,HIZ,789676466613782161
2444249,39627811383675611,1.116906064353822,0.08059544771306104,5.645218792027636e-6,GALAXY,,786345221259526165
2444321,39089837394999777,1.2741895614655634,0.4706670710050561,0.00001608314303955481,GALAXY,,788017853323280498
2445020,39627847622460186,0.3258055244753071,1.985672267798176,0.0006489456712208063,QSO,HIZ,788007888999155409
2445825,39627817415082665,0.7005940103635702,1.069773791369393,0.0001064484153396438,QSO,LOZ,786339380104003607
2446866,39627811379479581,0.8062719422859204,0.5462591541662027,0.00001277298009116376,QSO,LOZ,786337868275515557
2448916,39627859693669875,0.7907882054897158,0.1310116213574706,7.815684045622196e-6,GALAXY,,788010156741885995
